epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3338.1,0.54731,0.73906,0.29577,0.83991,0.97768,0.9569,0.98475,0.89404,0.98073,0.95971,0.98535,0.8577,0.59171,0.8402,0.35323,0.84051,0.000911867,0.000911867,0.000911867
64,3391.34,0.55912,0.75004,0.3028,0.84008,0.98959,0.96606,0.99232,0.8987,0.98959,0.96606,0.99232,0.85964,0.59526,0.84627,0.33286,0.84018,0.000897557,0.000897557,0.000897557
65,3442.94,0.5542,0.72944,0.29456,0.83962,0.98179,0.98418,0.99301,0.90384,0.98121,0.98361,0.99294,0.86585,0.59756,0.85732,0.34501,0.83856,0.00088317,0.00088317,0.00088317
66,3495.54,0.53162,0.70697,0.28612,0.83259,0.97998,0.95729,0.98653,0.89951,0.97998,0.95729,0.98495,0.86079,0.57995,0.86628,0.35065,0.83422,0.000868712,0.000868712,0.000868712
67,3548.36,0.52952,0.71959,0.28953,0.83652,0.98283,0.98731,0.99332,0.90105,0.98283,0.98731,0.99332,0.85903,0.5991,0.84268,0.32251,0.8399,0.00085419,0.00085419,0.00085419
68,3599.84,0.51635,0.70747,0.27966,0.83071,0.98016,0.97793,0.9935,0.90786,0.98016,0.97793,0.9936,0.87041,0.56986,0.84495,0.32882,0.83139,0.00083961,0.00083961,0.00083961
69,3652.76,0.54088,0.74078,0.29578,0.83643,0.98146,0.98421,0.99332,0.89517,0.98151,0.9842,0.99316,0.86064,0.61887,0.85077,0.34822,0.84435,0.000824978,0.000824978,0.000824978
70,3704.7,0.54772,0.73645,0.29067,0.83754,0.98738,0.98321,0.99401,0.90649,0.98736,0.98324,0.99403,0.86935,0.59284,0.83445,0.32174,0.8378,0.0008103,0.0008103,0.0008103
71,3756.99,0.56912,0.76159,0.29404,0.84327,0.97762,0.97564,0.99129,0.90155,0.97762,0.97564,0.99143,0.86067,0.60077,0.8705,0.35473,0.83936,0.000795584,0.000795584,0.000795584
72,3810.09,0.53829,0.74956,0.29049,0.83591,0.98891,0.98592,0.99429,0.9082,0.98891,0.98592,0.99426,0.86864,0.57967,0.85359,0.3152,0.83654,0.000780835,0.000780835,0.000780835
73,3862.09,0.52504,0.73011,0.28118,0.8381,0.98255,0.96883,0.98824,0.90067,0.98255,0.96883,0.98832,0.85655,0.58529,0.84143,0.34294,0.83892,0.00076606,0.00076606,0.00076606
74,3914.85,0.52417,0.71692,0.2817,0.83341,0.99029,0.98252,0.99283,0.90402,0.99029,0.98252,0.99281,0.86297,0.593,0.86252,0.32016,0.83813,0.000751266,0.000751266,0.000751266
75,3968.22,0.50759,0.71346,0.27349,0.83033,0.98041,0.97854,0.99156,0.9102,0.98041,0.97854,0.99156,0.86349,0.57019,0.85023,0.34338,0.83286,0.000736459,0.000736459,0.000736459
76,4019.98,0.50035,0.69164,0.26893,0.82838,0.99002,0.98185,0.99386,0.91182,0.99002,0.98185,0.99386,0.87197,0.58625,0.85245,0.31205,0.83537,0.000721645,0.000721645,0.000721645
77,4074.85,0.53164,0.69919,0.28025,0.8318,0.98352,0.97781,0.9932,0.90549,0.98352,0.97781,0.99321,0.86569,0.5926,0.87056,0.32351,0.84125,0.000706831,0.000706831,0.000706831
78,4127.82,0.51007,0.69847,0.27379,0.8307,0.98621,0.98207,0.99243,0.90973,0.98621,0.98207,0.99244,0.86908,0.58564,0.84522,0.31276,0.83446,0.000692024,0.000692024,0.000692024
79,4179.69,0.51553,0.70588,0.27665,0.82979,0.99036,0.98979,0.99381,0.91532,0.99036,0.98979,0.99379,0.87085,0.56368,0.81989,0.30698,0.83216,0.00067723,0.00067723,0.00067723
80,4233.31,0.49773,0.67419,0.26655,0.82846,0.99214,0.99169,0.99449,0.90954,0.99214,0.99169,0.99449,0.87284,0.5777,0.82731,0.29993,0.83382,0.000662455,0.000662455,0.000662455
81,4286.93,0.50705,0.68781,0.27188,0.82874,0.98769,0.9846,0.99265,0.91254,0.98988,0.98156,0.99262,0.87159,0.56987,0.86747,0.31869,0.8329,0.000647706,0.000647706,0.000647706
82,4338.94,0.50116,0.67702,0.27682,0.82594,0.99319,0.99061,0.99429,0.90889,0.99319,0.99061,0.99429,0.86924,0.58328,0.86991,0.30339,0.83724,0.00063299,0.00063299,0.00063299
83,4392.12,0.49753,0.67676,0.2738,0.82598,0.99176,0.98851,0.99423,0.91358,0.991,0.98719,0.99427,0.87317,0.57152,0.84473,0.30271,0.83469,0.000618312,0.000618312,0.000618312
84,4445.42,0.48285,0.65543,0.26173,0.82344,0.98079,0.98624,0.99011,0.90959,0.98079,0.98624,0.99003,0.8689,0.57844,0.82825,0.32764,0.83415,0.00060368,0.00060368,0.00060368
85,4497.57,0.50897,0.67208,0.27428,0.83046,0.98294,0.98708,0.99289,0.91259,0.98294,0.98708,0.99295,0.86769,0.57131,0.83639,0.32435,0.83556,0.0005891,0.0005891,0.0005891
86,4550.88,0.49425,0.66558,0.26837,0.82369,0.98343,0.98339,0.99152,0.90496,0.98343,0.98339,0.99152,0.86686,0.58615,0.85994,0.33715,0.83701,0.000574578,0.000574578,0.000574578
87,4604.45,0.49637,0.67012,0.26505,0.8235,0.97546,0.98724,0.99337,0.91077,0.97503,0.98706,0.99337,0.86555,0.58979,0.85374,0.32891,0.83977,0.00056012,0.00056012,0.00056012
88,4656.75,0.50365,0.6619,0.26515,0.8269,0.98358,0.976,0.98996,0.90192,0.98371,0.97717,0.99015,0.86221,0.59419,0.83931,0.32951,0.84084,0.000545733,0.000545733,0.000545733
89,4710.23,0.47888,0.63922,0.26087,0.81872,0.99194,0.98133,0.99417,0.91001,0.99194,0.98133,0.99417,0.87039,0.57969,0.85012,0.29828,0.8372,0.000531423,0.000531423,0.000531423
90,4763.31,0.46738,0.63203,0.25265,0.81801,0.98894,0.99134,0.99432,0.91121,0.98894,0.99134,0.99431,0.87182,0.5833,0.83611,0.30176,0.83648,0.000517197,0.000517197,0.000517197
91,4815.81,0.4874,0.63642,0.26583,0.8231,0.98457,0.98916,0.99333,0.90886,0.98457,0.98916,0.99327,0.86701,0.58369,0.84336,0.31515,0.8373,0.00050306,0.00050306,0.00050306
92,4869.34,0.4699,0.63301,0.25484,0.81763,0.9895,0.99307,0.99424,0.91603,0.98921,0.99279,0.99424,0.87362,0.57007,0.82335,0.28921,0.83552,0.00048902,0.00048902,0.00048902
93,4921.34,0.48251,0.64645,0.25747,0.82168,0.98931,0.98668,0.99284,0.90654,0.98931,0.98668,0.99282,0.86768,0.59217,0.82089,0.31283,0.83882,0.000475081,0.000475081,0.000475081
94,4974.64,0.47363,0.63616,0.25413,0.81811,0.99015,0.99176,0.99112,0.89911,0.99015,0.99176,0.99112,0.86404,0.6095,0.84287,0.31278,0.84241,0.00046125,0.00046125,0.00046125
95,5027.66,0.46138,0.65005,0.24611,0.81608,0.98071,0.9771,0.99171,0.90665,0.98042,0.97682,0.99149,0.8637,0.59934,0.85805,0.32425,0.84426,0.000447534,0.000447534,0.000447534
96,5079.97,0.45492,0.6293,0.24192,0.81162,0.98857,0.98848,0.99399,0.91004,0.98857,0.98848,0.99398,0.87095,0.59594,0.84218,0.30398,0.84009,0.000433938,0.000433938,0.000433938
97,5132.83,0.45011,0.63378,0.24204,0.8141,0.98879,0.98762,0.9939,0.9144,0.98879,0.98762,0.9939,0.86939,0.57561,0.85631,0.29615,0.83618,0.000420468,0.000420468,0.000420468
98,5185.93,0.44791,0.63635,0.23771,0.81626,0.98732,0.99296,0.99399,0.90927,0.98761,0.99324,0.994,0.867,0.60059,0.87798,0.29917,0.8409,0.00040713,0.00040713,0.00040713
99,5237.18,0.44667,0.62555,0.24008,0.81301,0.98667,0.9855,0.99282,0.90695,0.98667,0.9855,0.99285,0.86387,0.60301,0.88973,0.31282,0.84521,0.00039393,0.00039393,0.00039393
100,5289.77,0.44374,0.62474,0.23966,0.81273,0.99101,0.99003,0.9942,0.9082,0.99101,0.99003,0.99421,0.86561,0.6018,0.89292,0.29598,0.84196,0.000380874,0.000380874,0.000380874
101,5341.5,0.45805,0.63347,0.24111,0.81536,0.98794,0.99101,0.99406,0.90134,0.98794,0.99101,0.99408,0.85823,0.63619,0.94103,0.30844,0.85299,0.000367967,0.000367967,0.000367967
102,5393.94,0.47888,0.65119,0.24796,0.82063,0.98981,0.98414,0.99338,0.90624,0.98981,0.98414,0.99362,0.86626,0.61413,0.87931,0.31296,0.84853,0.000355216,0.000355216,0.000355216
103,5446.79,0.51475,0.66856,0.25779,0.83037,0.99249,0.98419,0.99439,0.91177,0.99249,0.98419,0.99439,0.86967,0.58598,0.87339,0.30408,0.84103,0.000342625,0.000342625,0.000342625
104,5497.99,0.49278,0.65838,0.25072,0.82391,0.97405,0.97346,0.9924,0.91127,0.97405,0.97346,0.9924,0.86809,0.57853,0.85582,0.32369,0.83838,0.000330201,0.000330201,0.000330201
105,5551.83,0.44588,0.61603,0.23523,0.81338,0.98544,0.99009,0.99428,0.9177,0.98799,0.98574,0.9943,0.87657,0.55333,0.84416,0.29258,0.83249,0.000317948,0.000317948,0.000317948
106,5604.24,0.42532,0.59906,0.22841,0.80945,0.99024,0.98615,0.99381,0.91756,0.99024,0.98615,0.99397,0.87387,0.56457,0.83819,0.29466,0.83516,0.000305872,0.000305872,0.000305872
107,5656.45,0.4208,0.59733,0.2269,0.81119,0.99196,0.98879,0.9941,0.91415,0.99196,0.98879,0.99411,0.872,0.56559,0.85725,0.28935,0.83402,0.000293979,0.000293979,0.000293979
108,5709.22,0.42926,0.59828,0.22953,0.81231,0.98877,0.98678,0.99329,0.91565,0.98877,0.98678,0.9933,0.87452,0.57011,0.84117,0.29994,0.83486,0.000282273,0.000282273,0.000282273
109,5760.45,0.42032,0.58823,0.22798,0.80547,0.98994,0.98749,0.99368,0.91711,0.98994,0.98749,0.99372,0.8769,0.55907,0.8459,0.28789,0.83341,0.00027076,0.00027076,0.00027076
110,5814.41,0.43311,0.60265,0.23012,0.8098,0.98876,0.9873,0.9941,0.91707,0.98876,0.9873,0.9941,0.87687,0.56024,0.86309,0.29247,0.83407,0.000259445,0.000259445,0.000259445
111,5867.26,0.45136,0.61998,0.23474,0.81202,0.98881,0.98559,0.99417,0.91823,0.98881,0.98559,0.99417,0.87972,0.55601,0.84864,0.28829,0.83441,0.000248332,0.000248332,0.000248332
112,5919.82,0.41945,0.59599,0.22519,0.80581,0.99153,0.98967,0.99423,0.92221,0.98892,0.98669,0.99422,0.87964,0.54259,0.83574,0.28014,0.8321,0.000237427,0.000237427,0.000237427
113,5973.16,0.40505,0.58134,0.21766,0.80629,0.98578,0.99064,0.99397,0.92194,0.98578,0.99064,0.994,0.87789,0.55717,0.8538,0.28799,0.83566,0.000226735,0.000226735,0.000226735
114,6026.52,0.39987,0.57645,0.21533,0.80642,0.99079,0.98935,0.99422,0.92105,0.99079,0.98935,0.99423,0.87772,0.55105,0.84917,0.28065,0.83234,0.000216259,0.000216259,0.000216259
115,6079.13,0.40273,0.57543,0.21718,0.80195,0.9911,0.98982,0.99407,0.91887,0.99159,0.98594,0.99408,0.87831,0.55074,0.84862,0.28392,0.83158,0.000206005,0.000206005,0.000206005
116,6132.26,0.39233,0.56921,0.21451,0.80025,0.98819,0.98991,0.99355,0.92158,0.98819,0.98991,0.99375,0.87599,0.55085,0.86934,0.28619,0.83257,0.000195978,0.000195978,0.000195978
117,6184.35,0.39039,0.57223,0.2122,0.79989,0.99107,0.98509,0.99409,0.92142,0.99107,0.98509,0.99417,0.8764,0.54659,0.84795,0.28559,0.83105,0.000186181,0.000186181,0.000186181
118,6238.04,0.39173,0.56546,0.21142,0.80176,0.98621,0.98622,0.99404,0.92094,0.98638,0.98546,0.99405,0.87734,0.54911,0.8555,0.28485,0.83251,0.000176619,0.000176619,0.000176619
119,6291.45,0.39532,0.56552,0.21261,0.80056,0.99247,0.98247,0.99423,0.92014,0.99247,0.98247,0.99427,0.87605,0.5516,0.87311,0.27912,0.83284,0.000167296,0.000167296,0.000167296
120,6342.86,0.39023,0.56744,0.20968,0.79976,0.99055,0.98361,0.99415,0.92306,0.99055,0.98361,0.99419,0.87855,0.54727,0.86793,0.27929,0.83158,0.000158216,0.000158216,0.000158216
121,6395.81,0.38167,0.56388,0.20527,0.79825,0.99365,0.98469,0.99424,0.91921,0.99365,0.98469,0.99426,0.87852,0.5524,0.86647,0.27841,0.83211,0.000149383,0.000149383,0.000149383
122,6448.91,0.38044,0.55857,0.20605,0.79731,0.98852,0.99245,0.99433,0.92241,0.99297,0.9843,0.99434,0.8777,0.54664,0.85969,0.27317,0.83026,0.000140801,0.000140801,0.000140801
123,6500.98,0.38388,0.56679,0.2067,0.79963,0.98777,0.98566,0.99426,0.92102,0.98777,0.98566,0.99427,0.87738,0.54826,0.85294,0.28093,0.83069,0.000132474,0.000132474,0.000132474
124,6553.83,0.38943,0.56708,0.20882,0.80146,0.9917,0.98488,0.99393,0.92317,0.9917,0.98488,0.9941,0.88106,0.54556,0.85637,0.28271,0.83045,0.000124405,0.000124405,0.000124405
125,6605.77,0.39392,0.56368,0.21067,0.80016,0.99225,0.9849,0.99408,0.92074,0.99225,0.9849,0.99409,0.87872,0.55341,0.86013,0.28129,0.83231,0.000116599,0.000116599,0.000116599
126,6658.38,0.37341,0.54669,0.20303,0.79718,0.9932,0.98364,0.99413,0.92155,0.9932,0.98364,0.99419,0.88089,0.54605,0.86204,0.28214,0.83098,0.000109058,0.000109058,0.000109058
