epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2487.62,0.60191,0.8015,0.33819,0.85418,0.97278,0.94717,0.97712,0.88033,0.97278,0.94717,0.97728,0.83856,0.5965,0.93003,0.39328,0.84292,0.00103616,0.00103616,0.00103616
55,2534.83,0.5789,0.77538,0.33271,0.85169,0.94474,0.95374,0.98554,0.88324,0.94212,0.95117,0.98473,0.84004,0.58228,0.89039,0.40748,0.83738,0.00102282,0.00102282,0.00102282
56,2581.5,0.59096,0.78992,0.33045,0.85021,0.98124,0.94625,0.98432,0.87656,0.98035,0.94534,0.98445,0.84807,0.6168,0.88792,0.36977,0.84297,0.00100935,0.00100935,0.00100935
57,2628.62,0.58917,0.78442,0.32459,0.84808,0.97816,0.9513,0.98903,0.87967,0.97816,0.9513,0.98878,0.85201,0.62442,0.90944,0.36619,0.84465,0.000995756,0.000995756,0.000995756
58,2676.04,0.57169,0.77972,0.31793,0.84751,0.96053,0.96397,0.98839,0.89285,0.96053,0.96397,0.98813,0.85202,0.59113,0.88617,0.38141,0.84,0.00098204,0.00098204,0.00098204
59,2722.46,0.57515,0.77454,0.3208,0.84786,0.9645,0.94508,0.98932,0.89112,0.9645,0.94508,0.98942,0.85313,0.59507,0.90017,0.37864,0.84331,0.000968209,0.000968209,0.000968209
60,2768.57,0.57336,0.76744,0.32125,0.84606,0.96557,0.90948,0.96117,0.85958,0.96557,0.90948,0.95972,0.82729,0.60034,0.91022,0.38849,0.84684,0.00095427,0.00095427,0.00095427
61,2815.24,0.56719,0.75477,0.32065,0.84606,0.98055,0.97002,0.99205,0.88396,0.98025,0.96973,0.99187,0.85065,0.60975,0.85237,0.35501,0.84709,0.00094023,0.00094023,0.00094023
62,2862.41,0.5647,0.75632,0.31502,0.84683,0.96971,0.95767,0.99073,0.89314,0.96971,0.95767,0.99102,0.84814,0.59508,0.91614,0.36869,0.84263,0.000926093,0.000926093,0.000926093
63,2909.23,0.56352,0.74636,0.31125,0.84477,0.98774,0.94023,0.98095,0.8847,0.98774,0.94023,0.98093,0.8455,0.5902,0.89219,0.36236,0.84232,0.000911867,0.000911867,0.000911867
64,2955.95,0.56308,0.76896,0.31638,0.84359,0.9677,0.96747,0.99044,0.89159,0.9677,0.96747,0.98963,0.84193,0.58294,0.8822,0.3595,0.83774,0.000897557,0.000897557,0.000897557
65,3001.45,0.55623,0.73312,0.30783,0.8408,0.98136,0.95591,0.98708,0.89272,0.98106,0.95563,0.98672,0.85703,0.58277,0.88106,0.33821,0.83903,0.00088317,0.00088317,0.00088317
66,3047.25,0.56823,0.74671,0.31092,0.84561,0.99268,0.96813,0.98812,0.89341,0.98804,0.97293,0.9886,0.86101,0.57656,0.82688,0.33258,0.83378,0.000868712,0.000868712,0.000868712
67,3093.8,0.56008,0.72889,0.30839,0.84284,0.9782,0.94165,0.97552,0.88564,0.9773,0.9408,0.97538,0.85081,0.58336,0.88661,0.36602,0.84096,0.00085419,0.00085419,0.00085419
68,3139.66,0.57382,0.77872,0.31396,0.84447,0.97832,0.98957,0.99387,0.90276,0.97832,0.98957,0.99387,0.8611,0.58097,0.84185,0.32315,0.83574,0.00083961,0.00083961,0.00083961
